last_trade,n_trades,pool_address_hex,project,token_bought_symbol,token_sold_symbol,total_vol_usd,version
2026-09-05 06:06:53.000 UTC,73148,8BB3514E2204E1CDF3AC149EFEE7FF04D91B719F,uniswap,AAPL,WETH,9759989.523412399,3
2026-09-05 05:58:55.000 UTC,35138,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,LLY,9757727.59211424,4
2026-09-05 06:06:47.000 UTC,32039,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,LLY,USDG,9606251.77623141,4
2026-09-05 06:06:35.000 UTC,53841,654E4143E82A5824445ADE0824351C2A9ACD95A8,uniswap,CRCL,USDG,9487857.814885585,3
2026-09-05 06:06:51.000 UTC,53534,654E4143E82A5824445ADE0824351C2A9ACD95A8,uniswap,USDG,CRCL,9436975.042274613,3
2026-09-05 06:05:03.000 UTC,87809,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,ETH,NVDA,9376068.974154744,4
2026-09-05 06:05:08.000 UTC,30430,D057B1BC54917855BBEE58EAD58647F47CAB35E5,uniswap,USDG,MU,9328373.492093313,3
2026-09-05 06:01:16.000 UTC,22092,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,NVDA,WETH,8894433.448578438,4
2026-09-05 06:01:18.000 UTC,87625,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,NVDA,ETH,8806273.453396522,4
2026-09-05 06:06:48.000 UTC,60130,F4ACDAEEB7022862A763C9B1B885E11191C889E3,uniswap,TSLA,USDG,8322928.59780486,3
2026-09-05 06:06:50.000 UTC,54508,F4ACDAEEB7022862A763C9B1B885E11191C889E3,uniswap,USDG,TSLA,8278930.435080608,3
2026-09-05 06:05:53.000 UTC,21673,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,WETH,NVDA,8146209.149728682,4
2026-09-05 06:05:03.000 UTC,56032,8AC92DA74AB5F3B1D024DC1943AD7E15DC4179EF,uniswap,USDG,AMZN,8141407.134015399,3
2026-09-05 06:04:43.000 UTC,62252,8AC92DA74AB5F3B1D024DC1943AD7E15DC4179EF,uniswap,AMZN,USDG,8068202.856815469,3
2026-09-05 06:07:01.000 UTC,47840,0F4227D27082B3BCA6818381B9EA6460275E49F4,uniswap,LULU,USDG,8050575.138579795,3
2026-09-05 06:06:56.000 UTC,47466,0F4227D27082B3BCA6818381B9EA6460275E49F4,uniswap,USDG,LULU,8012356.746877054,3
2026-09-05 06:06:21.000 UTC,77357,C6BCC95043DC48C204BB2D57FB264A10EFE0A607,uniswap,WETH,GME,7700625.229773743,3
2026-09-05 06:05:53.000 UTC,76819,C6BCC95043DC48C204BB2D57FB264A10EFE0A607,uniswap,GME,WETH,7689504.168306083,3
2026-09-05 06:03:20.000 UTC,24295,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,AMC,ETH,7513402.040752444,4
2026-09-05 05:58:17.000 UTC,25117,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,ETH,AMC,7337959.5523501355,4
2026-09-05 06:06:16.000 UTC,73562,A541143F20D7B0643123064ABF25F423E375B531,uniswap,RDDT,WETH,7106999.489566543,3
2026-09-05 06:05:21.000 UTC,73628,A541143F20D7B0643123064ABF25F423E375B531,uniswap,WETH,RDDT,7095705.34136097,3
2026-09-05 05:19:56.000 UTC,19534,D2038788EBE1E0BFD7C0A6112F09778F3AEAECA6,uniswap,USDG,LLY,7095367.4552066,3
2026-09-05 06:06:31.000 UTC,49629,18A5AF4E442F8BE68968CC1F00D537F8AF2D12CD,uponrh,NVDA,USDG,6872641.071703864,3
2026-09-05 06:04:23.000 UTC,41418,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,GOOGL,6830294.096857338,4
2026-09-05 05:52:31.000 UTC,43629,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,GOOGL,USDG,6807249.234343553,4
2026-09-05 06:06:52.000 UTC,42768,18A5AF4E442F8BE68968CC1F00D537F8AF2D12CD,uponrh,USDG,NVDA,6796189.553539002,3
2026-09-05 05:34:03.000 UTC,21744,D2038788EBE1E0BFD7C0A6112F09778F3AEAECA6,uniswap,LLY,USDG,6789458.72056102,3
2026-09-05 06:04:35.000 UTC,46303,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,MSFT,USDG,6410866.64346581,4
2026-09-05 06:06:15.000 UTC,20630,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,FIG,6344501.3498919625,4
2026-09-05 06:06:52.000 UTC,72589,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,ETH,SPCX,6290523.870268532,4
2026-09-05 06:06:45.000 UTC,30787,70504A6FAFDBFB75FE971FAA4DD716E79AC5624C,uniswap,MSTR,WETH,6284628.470839048,3
2026-09-05 06:00:14.000 UTC,43138,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,MSFT,6283493.010188409,4
2026-09-05 06:04:01.000 UTC,21418,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,FIG,USDG,6178660.068829716,4
2026-09-05 05:54:37.000 UTC,28215,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,QUBT,6161985.737369641,4
