deployer,n_launches
0x22c25af9cb7696949421264f8020dd6027b5544e,11
0x577f1af314c98aa1df1f6da7be8e36388f0f0d1d,11
0x3b2efed41bc44bf0690946df16125f9224a2feac,10
0xa3d2dcb6b2127bb382cf514f8067ff0544292eb4,10
0x424b4c87919540e76626db189a0a4f762057211f,10
0x478805c0f32f225d185537ef54a1f9cae43e2625,10
0xd5baecd24a736e04eb970258f149cdf73e07f034,10
0x3eb2c5f62248ac1754d8d27dcc107d37a3e3e4ce,10
0x14e42be07976874df8dcbfff91087055f54d11f1,10
0xb8c6ddefe2dec84df0d5860b16c21e7ac9b7c330,10
0x325f967623cf6bbcb55bf29ed5877952ccc6d0d3,10
0x2ada6e8b2709410e4fb269d106f9a67255952b52,10
0x6318044e11d2c46f2a4009b040f6bf79d7042d90,10
0x2fd155f8f5ad8e2df0120883de7a0a8f36ec401f,10
0xa8f2fab7502037ddd431fd634e62d9121ea49bf2,10
0x290f5d17e0391af6f0c19c21ce30e66574f2b6c5,10
0x8220ba17862f19bc51fbccc48b192e031abe7342,10
0x9d09d20b9a0a2e3110f49c28baaf7cf7efe6c6ac,10
0xdbd17d9260011ea3a44bc5c41aa934ac3418124e,10
0x828ae2b73f183f780d18c0051cc4c6ecc62293b6,10
0x90fb878ef04394297754f4e8e9b3da1e6136d6c3,10
0x51b75a9336d7c8ad771b6433a6653de456b00e4c,10
0x605a2aafb1ebaa27ef80495c56c31016a626ec4f,10
0xb6831ad732e80c95cb19d62f46e3b64aefcdfec4,10
0x6c296e9fd2b3274ec2d64cd57b883e4cb7ef395e,10
0x4f37bcb7f2ffa2a6328b12d85e110e99c3666550,10
0xad214328665a14220186effee1f5e8af8b3e3938,10
0x68ea72710434afbbc12c9c517050fe77d2f1aa44,10
0x880785aa44bda2c98287f1fc027f557c69b8178c,10
0xefb9a96d74e365ba46d1d800abf7072b8ceeb9fe,10
0x508685e375609eff4bb0fb5301fc19b5aa13e3cd,9
0x63a4f385ab3c57779776590c03534977281a5a32,9
