cluster_id,n_launches,fee_revenue_usd,vol_usd_24h,n_zero_volume_tokens,zero_volume_share,cost_usd,fee_to_cost_ratio,fee_per_launch_usd,vol_per_launch_usd
0x5d095c81f7ab2d88c6381104ecb6730590f99a04,663,166507.27478564729,16650727.47856473,0,0.0,833.3962234418301,199.79365168945867,251.1421942468285,25114.21942468285
0x56c262027e0de4aea31d2489529cb25d23e58a8b,653,13683.427122356183,1368342.7122356184,45,0.06891271056661562,820.8261446568855,16.67031101704979,20.95471228538466,2095.471228538466
0x331d9a049d496385998067abf6cbb6371c8d2466,561,26785.187896752122,2678518.789675212,75,0.13368983957219252,705.1814198353946,37.98339993558593,47.74543297103765,4774.543297103764
0xabb2acd3be814a80e502575d6c1dc5f789e9cd10,542,28557.505065384285,2855750.5065384284,18,0.033210332103321034,681.2982701439998,41.916303500004986,52.68912373687137,5268.912373687137
0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb,526,22275.754993234947,2227575.4993234947,14,0.026615969581749048,661.1861440880884,33.69059559461548,42.34934409360256,4234.934409360256
0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb,510,26266.41131012781,2626641.1310127806,17,0.03333333333333333,641.074018032177,40.972509525116074,51.50276727476041,5150.27672747604
0x370a7e2d300c14d79d4a7ee07aaca46c4b3012cf,496,30872.362797930386,3087236.2797930385,1,0.0020161290322580645,623.4759077332545,49.516528890702055,62.24266693131126,6224.266693131126
0xa5a5491bca93dd4c076e4906e79e7673f4a5a142,491,16257.546254142924,1625754.6254142923,5,0.010183299389002037,617.1908683407822,26.34119700741637,33.1110921672972,3311.1092167297197
0x026ba0aa63686278c3b3b3b9c43bedd8421e36cd,488,9293.128218561158,929312.821856116,389,0.7971311475409836,613.4198447052988,15.149702603810924,19.04329552983844,1904.3295529838442
0x376d633018680caa4ec3f3e735a2797abf7f9cb2,481,132995.28858895978,13299528.858895978,0,0.0,604.6207895558375,219.96479592880007,276.4974814739289,27649.748147392886
0xca7ded7e4f4ba8ab3b10009236ae6d1b95094589,477,36747.35739259396,3674735.7392593957,6,0.012578616352201259,599.5927580418597,61.28719351548355,77.0384850997777,7703.848509977769
0x9394e87bc71023fbe9b859d6c2d2de3c60ee6eaa,405,5558.10805202135,555810.805202135,0,0.0,509.0881907902582,10.917770540686659,13.7237235852379,1372.3723585237901
0xce5393752c8c19e98c3facc1636b0573c61279b1,340,2003.6605290835603,200366.05290835604,0,0.0,427.382678688118,4.688211827474948,5.893119203186942,589.3119203186942
0xbe5ca661d398e265ba84ed4b7a0887a57c68a39a,298,62.90325295376545,6290.325295376545,273,0.9161073825503355,374.5883477913505,0.16792634721463146,0.21108474145558875,21.108474145558876
0xe3c1fb149f6061605f82a2509cf1d6141af32c3b,297,149.01596892933495,14901.596892933494,263,0.8855218855218855,373.33133991285604,0.39915204805500293,0.5017372691223398,50.17372691223399
0x8afa869e6fc12a9b93d672cf0b06c87415cac421,267,63066.83732416952,6306683.732416952,0,0.0,335.62110355802207,187.91082162467936,236.20538323658997,23620.538323658995
0x53091256ebd2d8aa37b45536a5fd864ca764f32f,171,13861.035901251194,1386103.5901251193,12,0.07017543859649122,214.94834722255348,64.48542675650229,81.05868948100114,8105.868948100113
0x7f898c8a99ce74c838211f72cf175d4401669565,165,6954.688159626959,695468.8159626959,0,0.0,207.40629995158667,33.53171124141523,42.14962520986035,4214.962520986036
0x0ec4e45f9ce3020024c0418a74cd31fbc487038f,135,1579.6329657282918,157963.29657282916,3,0.022222222222222223,169.69606359675274,9.308601108638323,11.70098493132068,1170.098493132068
0xe256b0af9684e3284a5fb5ca56ac0e7aa43fec0d,134,534.5779703095766,53457.797030957656,6,0.04477611940298507,168.43905571825826,3.1737174494954736,3.9893878381311687,398.93878381311686
0x18dd3c14e34c1bc379f7538068c59160d9f68e25,130,4522.934029311993,452293.4029311993,1,0.007692307692307693,163.4110242042804,27.678267432299215,34.79180022547687,3479.180022547687
0x2bb27b73c602643f42471d4751fe4fc4eebefbd1,126,1369.7263948963805,136972.63948963804,3,0.023809523809523808,158.38299269030256,8.648191144959,10.870844403939527,1087.0844403939527
0x344daadde53a81f95bcc46a99d39107a509251a1,125,5101.472354388946,510147.23543889454,1,0.008,157.12598481180808,32.46740098716993,40.81177883511157,4081.1778835111563
0x698dd6c03b50c3d4af12932a0388338bcdd3aaed,117,2038.74568723039,203874.56872303903,1,0.008547008547008548,147.06992178385238,13.862424501909508,17.425176813934957,1742.517681393496
