executor,n_profitable_txs,total_profit_usd
7521DBAB979D7F3A3CFD6C7110E4C9CE951C2016,142,81851.6753826054
C2BB0E1C3176A024A6159F9366F542FD4131423B,25,81680.95234307842
552CC88B279C49F6C02C8AC46F570BF617C1C318,1,80959.247223
28473085BA4AA761EB541914F50A75DD685CD47B,10,80539.8008570742
59687AB0286F794F084BBC18324718D4891810C6,88,80405.52195200001
1DB360D3719CE6C5FFB682634E57CE0F8BEB6819,43,79561.3040482716
159051C27A5FB56714B93F633E781927F3D3E5E1,82,79028.41452430405
50E8EC441A3D153998A554535BA7C002A265C1BC,6,78844.15978472131
C5606CDE16FB8C39CC68D1D97700883AE951FF56,291,78772.4212933768
09880DAC4068D5AAE5A2CB48C647EF37F810BB2B,6,78616.1654133196
9B8D5B482DB8FEA7DC503649E5866A104CE96792,1,78542.68507296861
41ADA93F59A6F5A4FFE53B8620883D4E13CE1D50,1,78412.525841
F07CEB21BA7ABC6E348E8B2ADA9A664B0714738F,101,78064.17600088287
826C681AEB488E12996634936F4E985D307A84F6,462,78061.74255597562
605AE8FF84B291F4B3286DC940A970BEF3C5684E,68,77780.2147110987
F87EF53DE782BDAEE38BF5B35850ACC538DEECA6,37,77625.83343245277
71DEF18185D8EBCF26C053E1014D14D248B5FA42,9,77196.06845805823
D56EC229C041DD098E2C8862E05A0B60885EACF3,30,76888.57161975495
54BC4AADAE84F237ACC08F851C9899807615DB00,8,76325.46793937292
B8EC41534B6B3DEFE7794D765A2E7C65DFAFAB7E,85,76295.027844
F4C40BF7070FDCF64ECF020BCB583738A6CC3BCD,16,76163.98022668768
471B84C758C70EDE47EF6F3F5359F06ABC3B893B,6,76073.14733800001
CB4198D98EE9924A50AE7F55E71C7DC65D2BE651,34,75891.68789827598
D6ED8985CAB10E7B0C604CAA089F7D1F0B849078,21,75774.3250909112
72E5DC60D7F7009E4DF877DC924EC02A9E580066,44,75754.4915552939
2E32935BFD5B2718F99BC8FDF8B37C16811F7D97,4,75411.10312993056
DE58B44D182658413A1DA01A074AE2377359CAB9,5,74419.53340971189
76D95B809B69FA4386040877F3CF19B945E4C936,94,74091.00571700002
4807C793076F87A75D328A9310D743F650B94276,4,74014.30943903721
214A758D3CB81A194E89CE456BD0F5EDEF7E0B30,33,73739.88013656567
85C5E7C044EFBF8C02F74489E724C791E28A0ED8,127,73371.12332959934
AE69B93E150B959A6C88C5A8545451127B1478C4,10,73110.202313
B85B817B27115F6EA8C2E1011F4C4D1EB3034A15,33,73093.91345761946
A50C8B73B24D8627A1465C08F3C3DAD24853F630,2,72349.37685011733
65850848F0B00D4449E0CA8F25A4A92366666666,9,72133.621082
000000007B57ACA14597CF85D0636C5F51ED1EA3,45,72084.88880257399
D712127DFA03F4B4D592D419119F09811FF70DF6,197,72050.77593665021
89C0FEE4B7CA37711219092CD1C0D2B4F7AF87C1,1,71915.527962
C1AC9AFB8B8A38D3A2E96ED32FEB354165F900B4,1,71871.42848327354
26CBD87F58B90E5F88D54E5430497D2A121B8BBA,195,71721.49750653723
326D21D3D6AA67B7B020752CD9B21C5AB9246055,36,71671.79647929755
4602FFF6BC646A80A01DB71E59F3D8D3CA61CD68,2,71629.81790494302
47BF6B73B6C560C4140F9B893419B4A8ED5543F5,68,71118.07983095624
ABE0CDD036456FCC1B64D1DDB7AA3BDF7D5B98B1,12,71027.43117736418
97EF796094C5CA9DA9CAFFEA5F9AB0CC9C353475,89,70760.87112941507
