executor,n_profitable_txs,total_profit_usd
F092460AA1F82FE7460AE54EA827FAC1BA446D41,22,86294.93157496287
E93497F8EEB0779BA372F1E9831B5787FD72D318,1,86272.441919
319555BC59EDB925CC5BF202EE7D7D12B7504CD8,251,86239.4107627257
446C759FEB1DA102CCE53CE114AAF91451778862,54,86159.57945699999
7FD97D3183065E1ABB07CE32863F7E3ABBF5AEAC,4,84606.818486
D782E0E741D1EB2E3581A9814CF2571B0675FA6D,36,84213.44226881227
AE1255C532435E99132FAFBD982B434775F7CA65,5,83877.13547701185
24E7A8963C07DC0AD58098172AB2B9826BC90FB2,21,83655.214271437
6F97B7DE6BE7B7771E975E46BAE96C35E332E172,13,83470.58479119223
99DE396FE367A6AF9B37EBAE0DFF2A8FC784F1A2,3,83323.15542905027
71416C4C697106806EBED6762379E1CC55DCC322,15,82906.43655100575
7521DBAB979D7F3A3CFD6C7110E4C9CE951C2016,146,82125.86219206205
C2BB0E1C3176A024A6159F9366F542FD4131423B,25,81679.56529361782
ACD6B4DA1C342F2EDFF810E288221C257C662A34,19,81442.9518673347
552CC88B279C49F6C02C8AC46F570BF617C1C318,1,80959.247223
59687AB0286F794F084BBC18324718D4891810C6,88,80405.52195200004
1DB360D3719CE6C5FFB682634E57CE0F8BEB6819,43,79559.89191287688
28473085BA4AA761EB541914F50A75DD685CD47B,10,79211.19430745265
159051C27A5FB56714B93F633E781927F3D3E5E1,82,79028.4037136854
09880DAC4068D5AAE5A2CB48C647EF37F810BB2B,6,78615.71502428623
9B8D5B482DB8FEA7DC503649E5866A104CE96792,1,78542.56848041863
41ADA93F59A6F5A4FFE53B8620883D4E13CE1D50,1,78412.525841
F07CEB21BA7ABC6E348E8B2ADA9A664B0714738F,101,78064.11163049664
605AE8FF84B291F4B3286DC940A970BEF3C5684E,71,77845.38529641257
826C681AEB488E12996634936F4E985D307A84F6,460,77522.85779181674
71DEF18185D8EBCF26C053E1014D14D248B5FA42,9,77194.65658650128
54BC4AADAE84F237ACC08F851C9899807615DB00,8,76325.45000327175
B8EC41534B6B3DEFE7794D765A2E7C65DFAFAB7E,85,76295.027844
471B84C758C70EDE47EF6F3F5359F06ABC3B893B,5,76070.944938
1D0E439A1F53D1547F378587A0A55C2083AF54C7,133,75426.15299008963
2E32935BFD5B2718F99BC8FDF8B37C16811F7D97,4,75409.9779554828
D6ED8985CAB10E7B0C604CAA089F7D1F0B849078,21,75357.30716845415
DE58B44D182658413A1DA01A074AE2377359CAB9,5,74419.59349380665
CB4198D98EE9924A50AE7F55E71C7DC65D2BE651,32,74351.9356412392
F4C40BF7070FDCF64ECF020BCB583738A6CC3BCD,16,74278.37304330517
50E8EC441A3D153998A554535BA7C002A265C1BC,6,74202.21725736174
76D95B809B69FA4386040877F3CF19B945E4C936,94,74091.00571700001
C5606CDE16FB8C39CC68D1D97700883AE951FF56,256,73591.59032320698
85C5E7C044EFBF8C02F74489E724C791E28A0ED8,127,73369.81668302516
6085932878D587332419AC976FC13D98EBA6FDAB,406,72836.37499725158
A50C8B73B24D8627A1465C08F3C3DAD24853F630,2,72347.96237552117
000000007B57ACA14597CF85D0636C5F51ED1EA3,45,72083.65165829643
89C0FEE4B7CA37711219092CD1C0D2B4F7AF87C1,1,71915.527962
C1AC9AFB8B8A38D3A2E96ED32FEB354165F900B4,1,71870.14854436094
326D21D3D6AA67B7B020752CD9B21C5AB9246055,36,71670.52878962674
4602FFF6BC646A80A01DB71E59F3D8D3CA61CD68,2,71628.88894913357
26CBD87F58B90E5F88D54E5430497D2A121B8BBA,194,71574.65630913082
FD656E98BE399319C540E2988DD4D3D44313B3C4,26,70813.4769227397
D712127DFA03F4B4D592D419119F09811FF70DF6,210,70276.89258408574
6FCD7818405B866B5F1AB54366AC747460839334,2,70240.79740059607
000000002BC7A2338F31D4FF62A96897C9422296,55,69990.84129518943
ABE0CDD036456FCC1B64D1DDB7AA3BDF7D5B98B1,12,69773.9756140862
765D40EED4E8E888876C26DB2D16D2177819293D,33,69491.74182744793
787F29C043E961DB504D23B97D6BBABB9579B953,88,69416.22654300001
BF732EA04197942783E34730ED6E0F6099575D58,2,69377.78715058432
97EF796094C5CA9DA9CAFFEA5F9AB0CC9C353475,76,69343.00348343715
50F27CDB650879A41FB07038BF2B818845C20E17,2,69323.82847503186
6FB9792B8445D75D9B909B43394B8C1A62876994,1,69260.33295422925
9F623D10CEB84B3A76119681ECB57369098815A4,41,68870.29522030108
4807C793076F87A75D328A9310D743F650B94276,4,68669.7839335486
A60E892AB5FBF4754E3052B7643E48A1BD6B3065,146,68499.65432677067
