token,feed_addr,t_checkpoint,D,P_vwap,F_anchor,anchor_age_min,n_trades_pre,vol_usd_pre
ORCL,0x4a9abc759e0b7b0ba98b5fd39c419a5d3e962aaf,2026-07-25 10:00:00+00:00,0.025308011591690646,117.77848721568893,114.83515,840.3333333333334,59,1052.7643984554882
ORCL,0x4a9abc759e0b7b0ba98b5fd39c419a5d3e962aaf,2026-07-27 00:00:00+00:00,0.02628288496640211,117.89336231222792,114.83515,3120.3333333333335,49,970.9442716531582
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-24 20:00:00+00:00,0.15301488420744475,106.82693083039355,91.66999999,0.16666666666666666,106,10871.323160442518
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-24 21:00:00+00:00,0.1191416977163973,103.02377319595503,91.45235,39.15,56,3895.3915522886423
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-24 22:00:00+00:00,0.05052859124129123,96.19204508709916,91.45235,99.15,121,8113.669024770334
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-24 23:00:00+00:00,0.00320469687976368,91.74589717431944,91.45235,159.15,21,1725.307276554723
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 00:00:00+00:00,0.009023041186589682,92.28126235197026,91.45235,219.15,65,3659.049009259544
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 01:00:00+00:00,0.022873104534339946,93.56825557722712,91.45235,279.15,20,736.108393760207
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 02:00:00+00:00,0.023675040174502407,93.64332139111518,91.45235,339.15,13,1082.8272174895696
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 03:00:00+00:00,0.01828107379715984,93.13957228830617,91.45235,399.15,18,1275.247104715314
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 04:00:00+00:00,-0.023330456003088935,89.34342175910577,91.45235,459.15,20,1840.0175345003072
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 07:00:00+00:00,0.0796929933378579,99.03873784332471,91.45235,639.15,10,1037.332929722361
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 09:00:00+00:00,0.05373832325424757,96.50129180765835,91.45235,759.15,12,906.1736076198688
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 10:00:00+00:00,0.048787807415743865,96.02474119307035,91.45235,819.15,28,3867.1547909756846
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 11:00:00+00:00,0.05095072651308291,96.23265971402637,91.45235,879.15,7,2914.7860614197893
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 12:00:00+00:00,0.08356231834459707,99.42269325339473,91.45235,939.15,442,34660.00979807115
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 13:00:00+00:00,0.07308289990712233,98.38624143982366,91.45235,999.15,120,7119.631335622847
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 14:00:00+00:00,0.5058693173315939,151.66700923013875,91.45235,1059.15,8717,547231.4342358051
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 15:00:00+00:00,0.19514753357513068,111.15944423582438,91.45235,1119.15,197,14786.43984388274
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 16:00:00+00:00,0.22041099708448686,114.00349076752337,91.45235,1179.15,74,6646.018868547272
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 17:00:00+00:00,0.21204959029199733,113.05423529148969,91.45235,1239.15,33,2986.841298079114
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 19:00:00+00:00,0.21437889269529894,113.31787972806393,91.45235,1359.15,25,990.1165074107764
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 20:00:00+00:00,0.2640489416674831,119.08851180070043,91.45235,1419.15,32,3930.13822486458
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 22:00:00+00:00,0.2705250860754589,119.86224891285065,91.45235,1539.15,20,1044.9685963808483
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-25 23:00:00+00:00,0.2812184780073409,121.15086045321335,91.45235,1599.15,16,1127.5225492180753
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 00:00:00+00:00,0.300415503333703,123.49906373456486,91.45235,1659.15,13,1363.936992275812
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 01:00:00+00:00,0.30580997345034505,124.16707590922526,91.45235,1719.15,19,712.3753266285374
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 02:00:00+00:00,0.3051792654509487,124.08878743236717,91.45235,1779.15,14,2244.669442543046
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 05:00:00+00:00,0.29615195910489583,122.97364089180019,91.45235,1959.15,15,969.819132301757
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 09:00:00+00:00,0.2953594231471655,122.87621847002596,91.45235,2199.15,7,511.0890968689333
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 11:00:00+00:00,0.3173479773071542,125.60801289276819,91.45235,2319.15,13,584.3145878887193
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 12:00:00+00:00,0.3117954303522424,124.91250122080561,91.45235,2379.15,8,1640.319028954336
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 13:00:00+00:00,0.3017181526551634,123.66004453414038,91.45235,2439.15,15,3065.1356488194237
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 14:00:00+00:00,0.28001750077698895,121.00544836415337,91.45235,2499.15,15,17115.920761543304
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 15:00:00+00:00,0.2655323811997758,119.26530350442809,91.45235,2559.15,13,3835.640453032792
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 16:00:00+00:00,0.2651964801932635,119.22524889650714,91.45235,2619.15,10,3583.8811118148838
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 17:00:00+00:00,0.27632411317806466,120.55935265105362,91.45235,2679.15,11,531.0298461487383
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 20:00:00+00:00,0.25626785917099304,118.16547005512432,91.45235,2859.15,3,605.6293394860745
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-26 23:00:00+00:00,0.2829415544094948,121.35979259328788,91.45235,3039.15,13,1941.8209285822584
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 01:00:00+00:00,0.14656771904109392,109.02925945585245,94.16499999,40.21666666666667,124,10094.07339014306
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 02:00:00+00:00,0.020199946639191002,95.50994040904605,93.6,43.7,38,3760.4971155965854
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 03:00:00+00:00,0.01534571719336006,95.54501409467521,94.09,20.15,14,767.9859024676458
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 04:00:00+00:00,-0.001121980936066021,93.98449201376827,94.09,80.15,10,1364.869214578336
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 05:00:00+00:00,-0.003704778990960127,94.21530574465908,94.565,39.11666666666667,10,512.3460011851014
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 07:00:00+00:00,0.017549327252171575,96.7633173769324,95.08,52.583333333333336,3,2898.195228396184
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 08:00:00+00:00,0.006072173948518323,95.16108384349515,94.585,51.05,12,620.4088289672284
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 09:00:00+00:00,0.0012351894648937516,94.70190257909091,94.585,111.05,9,1280.689113551664
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 12:00:00+00:00,-0.006231079137327363,93.4946585796931,94.07905,30.966666666666665,7,1288.6081274224855
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 13:00:00+00:00,-0.006614764489791359,93.350114196764,93.96965,12.933333333333334,15,4003.0703983911008
MSTR,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,2026-07-27 20:00:00+00:00,-0.012674659781451783,97.1788522806687,98.4184,22.3,3,543.3352559760394
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-24 13:00:00+00:00,0.0281754374455921,15.662437142336886,15.2273,46.21666666666667,37,4229.697337016618
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-24 20:00:00+00:00,0.009366761903590221,14.29325646506146,14.16,9.05,77,11406.624894660674
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-24 22:00:00+00:00,0.004580149797755787,14.29632960725984,14.231,43.516666666666666,25,2573.595579669768
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-25 00:00:00+00:00,-0.005038876114671705,14.159472115429297,14.231,163.51666666666668,8,1050.9264396173153
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-25 04:00:00+00:00,-0.008160576690870794,14.115339403563405,14.231,403.51666666666665,6,1115.233540694703
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-25 13:00:00+00:00,-0.00999594159389546,14.0894563647041,14.231,943.5166666666667,5,1089.7068561474089
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-25 14:00:00+00:00,0.0031698640170749995,14.27618190724554,14.231,1003.5166666666667,86,6042.603615408018
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-26 04:00:00+00:00,0.012150947706752487,14.404974976689775,14.231,1843.5166666666667,5,700.5089
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-26 11:00:00+00:00,0.01321229977947303,14.420271842983196,14.231,2263.516666666667,5,688.3561811247658
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-26 16:00:00+00:00,0.01768092428427889,14.484854814161226,14.231,2563.516666666667,10,1985.2893480565065
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-26 18:00:00+00:00,0.018150856283893402,14.491663310588043,14.231,2683.516666666667,3,692.3922606559
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-26 23:00:00+00:00,0.02937397448558824,14.65522105804268,14.231,2983.516666666667,10,1620.6811498658965
USAR,0x76ba75c6c362900b275d9d4d5c422f0275e85578,2026-07-27 20:00:00+00:00,-0.0002589823643761238,14.925634023422534,14.9295,4.916666666666667,9,1910.4641144595932
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-24 20:00:00+00:00,0.0008639802168253745,740.3743925771886,739.735,96.25,95,15092.991830987376
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-24 21:00:00+00:00,0.0002972708683498082,739.9549343542174,739.735,156.25,46,4683.753818885678
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-24 22:00:00+00:00,-7.984635128834761e-05,739.675937217335,739.735,216.25,49,7367.304714150488
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-24 23:00:00+00:00,0.0007353504299936566,740.2791645016106,739.735,276.25,43,2140.763850731801
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 00:00:00+00:00,0.0015659294677518975,740.8942802735057,739.735,336.25,27,716.0075871427023
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 01:00:00+00:00,-0.0025733712964060517,737.833834435664,739.735,396.25,60,5404.841639833488
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 02:00:00+00:00,-0.0030926817625966828,737.4507690766659,739.735,456.25,20,1530.0214897215265
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 03:00:00+00:00,0.0014876717327026788,740.8363018338807,739.735,516.25,200,15055.228207577797
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 04:00:00+00:00,0.0019717217647040866,741.1949904741116,739.735,576.25,71,7402.89389851026
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 05:00:00+00:00,-0.0019499694580889597,738.2939448063481,739.735,636.25,32,3829.058344048632
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 06:00:00+00:00,0.0025673465733568627,741.636596101065,739.735,696.25,25,1429.2185670246877
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 07:00:00+00:00,-0.002234008827456532,738.0842700392114,739.735,756.25,19,682.8489091352551
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 08:00:00+00:00,-0.0009464428357233634,739.0352143147267,739.735,816.25,37,2557.8063932020896
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 09:00:00+00:00,0.0010550436898129534,740.5158645945826,739.735,876.25,44,9721.020707145748
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 10:00:00+00:00,0.0008790727611719364,740.385566794865,739.735,936.25,20,1617.102663260936
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 12:00:00+00:00,0.0032072043148579344,742.1112898705068,739.735,1056.25,74,6295.834162140439
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 13:00:00+00:00,0.0003308496588437897,739.9797815631003,739.735,1116.25,16,1340.240701020317
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 14:00:00+00:00,-0.00012292225767443284,739.6440756921443,739.735,1176.25,57,5566.225430208521
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 15:00:00+00:00,0.0030736615108032587,742.0121928649301,739.735,1236.25,22,6386.757722805942
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 16:00:00+00:00,0.002539834006274018,741.6161920551489,739.735,1296.25,35,1539.1219980218807
